strain,date.transformed,host.cell,antibiotics,vector,accession,source.plate.tube,source.kit,creator,other.notes,glycerol.stock.location,burden.assays,miniprep.DNA.concentration.ng.uL.,GFP.inteference,fluorescent.protein,part.type,number.of.subparts,short.part.description,measured,sequenced,sequencing.result
BB17,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K617003,"Plate 1, M8",spring 2018 iGEM distribution,Matt McGuffie,Colony 2,Teal Box,exp014,NA,FALSE,,DNA,1, Confirmed(A),TRUE,0,not.sequenced
BB18,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K1415006,"Plate 5, I13",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp031,NA,FALSE,,Coding,1," ""PBAN (Helicoverpa armigera Hubner)""",FALSE,0,NA
BB19,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K137018,"Plate 4, 5A",spring 2018 iGEM distribution,Jordan Clements,Colony 1 ,Teal Box,exp003/exp005/exp031,NA,TRUE,GFP,Coding,1," ""AHL receiver + GFP""",TRUE,1,biobrick.minor.discrepancy
BB20,03.13.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K1415006,"Plate 5, I13",spring 2018 iGEM distribution,Noor Radde,Colony 2,Teal Box,exp015/exp031,NA,FALSE,,Signalling,10," ""PBAN (Helicoverpa armigera Hubner)""",TRUE,0,not.sequenced
BB21,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K314110,"Plate 1, A1",spring 2018 iGEM distribution,Emily Garcia,Colony 1 ,Teal Box,exp003/exp005,NA,FALSE,,Translational_Unit,1," ""f1 origin""",TRUE,1,biobrick.confirmed
BB22,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K731722,"Plate 1, B1",spring 2018 iGEM distribution,Emily Garcia,Colony 1 ,Teal Box,exp003/exp005,NA,FALSE,,Terminator,1," ""T1 terminator from  E. coli rrnB""",TRUE,1,biobrick.confirmed
BB23,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K398326,"Plate 1, C1",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp003/exp005,NA,FALSE,,Regulatory,1," ""Promoter of the CaiF protein""",TRUE,1,biobrick.confirmed
BB24,04.04.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K398331,"Plate 1, E1",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp003/exp005,NA,TRUE,GFP,Measurement,5," ""pCaiF-B0032 measurement device""",TRUE,1,biobrick.confirmed
BB25,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K808025,"Plate 1, F1",spring 2018 iGEM distribution,Noor Radde,Colony 1 ,Teal Box,exp003/exp005,NA,FALSE,,Coding,1," ""FsC: Cutinase PET cleaving enzyme""",TRUE,1,biobrick.confirmed
BB26,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K314100,"Plate 1, G1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Composite,3," ""High constitutive expression cassette""",FALSE,1,NA
BB27,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K808001,"Plate 1, H1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Coding,1," ""tphC: terephtalate periplasmatic binding proteine of the tripartite transporter family""",FALSE,1,NA
BB28,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K808003,"Plate 1, J1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Coding,1," ""tctB_162: small subunit B1 of the tripartite tricarboxylate transporter family""",TRUE,1,biobrick.confirmed
BB29,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K314201,"Plate 1, K1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Coding,1," ""Antitoxin Tsi2""",FALSE,1,NA
BB30,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K808010,"Plate 1, L1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Coding,1," ""tphB: reaction from DCD to protocatechuate""",FALSE,1,NA
BB31,04.10.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K314202,"Plate 1, M1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Coding,1," ""Toxin+ Antitoxin-Tse2 + Tsi2""",FALSE,1,NA
BB32,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K314101,"Plate 1, I1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Composite,3," ""Low constitutive expression cassette""",FALSE,1,NA
BB33,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K808011,"Plate 1, N1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Coding,1," ""tphA1: reduces the tphA2A3 complex""",FALSE,1,NA
BB34,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K346002,"Plate 1, O1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Regulatory,1," ""PmerT promoter (mercury-responsive)""",FALSE,1,NA
BB35,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K808013,"Plate 1, P1",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Coding,1," ""tphA3: Catalyzes together with tphA2 TPA to DCD""",FALSE,1,NA
BB36,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K548000,"Plate 1, A2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Signalling,1," ""Humanized Aequorin """,FALSE,0,NA
BB37,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325210,"Plate 1, B2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Reporter,1," ""Red Firefly Luciferase and LRE<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",FALSE,1,NA
BB38,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K648028,"Plate 1, C2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Coding,1," ""Cro  Lamda Repressor which activates the lytic cycle""",FALSE,1,NA
BB39,04.22.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325219,"Plate 1, D2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Generator,2," ""Red Firefly Luciferase and LRE (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",TRUE,1,NA
BB40,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K648029,"Plate 1, E2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp016/exp034/exp031,NA,FALSE,,Coding,1," ""OR  operating region for Lambda switch""",TRUE,1,biobrick.confirmed
BB41,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325108,"Plate 1, F2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Generator,2," ""EPIC Firefly Luciferase (under pBAD)<BR><i>P. Pyralis<BR>(E. coli optimised)</i>""",FALSE,1,NA
BB42,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K530015,"Plate 1, G2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Regulatory,1," ""FCY2 Yeast Promoter""",FALSE,1,NA
BB43,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325209,"Plate 1, H2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Generator,1," ""Green Firefly Luciferase and LRE (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",FALSE,1,NA
BB44,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K530019,"Plate 1, I2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013/exp031,NA,FALSE,,Terminator,1," ""HHO1 Yeast UTR""",FALSE,0,NA
BB45,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325259,"Plate 1, J2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013,NA,FALSE,,Generator,1," ""Yellow Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",FALSE,1,NA
BB46,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K530025,"Plate 1, K2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013,NA,FALSE,,Coding,1," ""Vtc2""",FALSE,1,NA
BB47,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325903,"Plate 1, L2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp016/exp034,NA,FALSE,,Generator,1," ""luxEG <BR><i>V. Fischeri<BR>(E. coli optimised)</i>""",TRUE,1,biobrick.confirmed
BB48,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K542003,"Plate 1, M2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Composite,14,,FALSE,1,NA
BB49,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K316027,"Plate 1, N2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,,Coding,1," ""B.subtilis transformation vector with LacI""",FALSE,0,NA
BB50,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K542010,"Plate 1, O2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp013,NA,FALSE,,Composite,18," ""Enhanced Lumazine Synthase (ELS)""",FALSE,1,NA
BB51,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K415023,"Plate 1, P2",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,TRUE,GFP,Composite,1," ""pLux-Lac:GFP:Term:Term:PluxR/cI-OR :mCherry:Term:PtetR:LuxR:Term:Plux/cI-OR:LuxI  """,FALSE,1,NA
BB52,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K346004,"Plate 1, A3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp013,NA,FALSE,,Regulatory,1," ""RBS(B0034)_MBP(lead metal binding peptide egineered from PbrR)+Terminator(B0015)""",FALSE,1,NA
BB53,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K823042,"Plate 1, B3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp013,NA,FALSE,,Coding,3," ""PsspK promoter regulated by sigma G""",FALSE,1,NA
BB54,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K316003,"Plate 1, C3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Terminator,2," ""XylE - catechol 2 3-dioxygenase from P.putida with terminator""",TRUE,1,biobrick.confirmed
BB55,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K823017,"Plate 1, D3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Reporter,1," ""double terminator (B0012-B0011)""",TRUE,1,biobrick.confirmed
BB56,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K523000,"Plate 1, E3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Device,1," ""Plac + lacZ; with BglII site""",TRUE,1,biobrick.confirmed
BB57,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K817018,"Plate 1, F3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Translational_Unit,2," ""gamma-delta resolvase cassette""",TRUE,1,biobrick.confirmed
BB58,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K538104,"Plate 1, G3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Regulatory,1," ""RBS + CspC""",TRUE,1,biobrick.confirmed
BB59,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K873002,"Plate 1, H3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Coding,1," ""HSP promoter""",TRUE,1,biobrick.confirmed
BB60,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K538004,"Plate 1, I3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Intermediate,3," ""CspC (P. irgensii)""",TRUE,1,biobrick.confirmed
BB61,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,S05060,"Plate 1, J3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Coding,1," ""K873000:B0015""",TRUE,1,biobrick.confirmed
BB62,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K538000,"Plate 1, K3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Regulatory,1," ""Cpn10 (O. antarctica)""",TRUE,1,biobrick.confirmed
BB63,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K774001,"Plate 1, L3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Regulatory,1," ""Mammalian-Bacterial Promoter: E9-ns2 CArG promoter sequence + BHN + BBaK216005""",TRUE,1,biobrick.confirmed
BB64,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K525998,"Plate 1, M3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Coding,1," ""Promoter T7 and RBS""",TRUE,1,biobrick.confirmed
BB65,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K748002,"Plate 1, N3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Intermediate,2," ""Truncated lysostaphin coding sequence. Lysostaphin has has a specific lytic action against S.aureus.""",TRUE,1,biobrick.confirmed
BB66,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K608002,"Plate 1, O3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,exp016/exp034,NA,FALSE,,Intermediate,2," ""strong Promoter and strong RBS""",TRUE,1,biobrick.confirmed
BB67,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,S05048,"Plate 1, P3",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,FALSE,,Composite,2," ""B0034:K748000""",FALSE,0,NA
BB68,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K331022,"Plate 1, A4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,TRUE,YFP,Composite,5," ""RBS with N-terminal Oligo Arginine - EYFP Fusion""",FALSE,0,NA
BB69,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K381001,"Plate 1, B4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,TRUE,GFP,Composite,2," ""Nitrate reporter: PyeaR - GFP composite""",FALSE,1,NA
BB70,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K331024,"Plate 1, C4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,FALSE,CFP,Composite,4," ""RBS with N-terminal Oligo Arginine - ECFP Fusion """,FALSE,1,NA
BB71,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K314103,"Plate 1, D4",spring 2018 iGEM distribution,Emily Garcia,,Teal Box,,NA,FALSE,,Coding,1," ""Lac induced expression cassette""",FALSE,1,NA
BB72,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K145001,"Plate 4, 1C",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,FALSE,,Coding,1," ""T7 RNA polymerase""",TRUE,1,biobrick.confirmed
BB73,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K525306,"Plate 4, 2C",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,FALSE,,Composite,1," ""Fusion Protein of S-Layer SgsE and mCerulean""",TRUE,1,biobrick.confirmed
BB74,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K525404,"Plate 4, 2E",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,FALSE,RFP,Composite,1," ""Fusion Protein of S-Layer SbpA and mCherry RFP""",TRUE,0,not.sequenced
BB75,04.17.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K525406,"Plate 4, 2G",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,FALSE,CFP,RBS,1,"""Fusion Protein of S-Layer SbpA and mCerulean """,TRUE,1,biobrick.confirmed
BB76,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,J61100,"Plate 4, 16C",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,3.64,FALSE,,Coding,1,"""Ribosome Binding Site Family Member""",FALSE,1.516666667,NA
BB77,4.17.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2, I715023,"Plate 4, 16I",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,8.83,FALSE,,Regulatory,1,"""Carboxyl portion of RFP""",FALSE,3.679166667,NA
BB78,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,K125500,"Plate 4, 16K",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,10.9,TRUE,GFP,RNA,1," ""GFP fusion brick""",FALSE,4.541666667,NA
BB79,4.17.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,J23119,"Plate 4, 17B",spring 2018 iGEM distribution,Diya Bhat,,Teal Box,exp036,12.6,FALSE,,Coding,1," ""constitutive promoter family member""",FALSE,5.25,NA
BB80,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K648013,"Plate 4, 20",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,TRUE,GFP,Generator,3,"""GFP with Standard 25 Prefix/Suffix""",TRUE,0,not.sequenced
BB81,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K592011,"Plate 4, 2I",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,FALSE,,Composite,6," ""cjBlue  green chromoprotein""",TRUE,1,biobrick.confirmed
BB82,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K118019,"Plate 4, 3C",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,FALSE,,Coding,1," ""Plac+rbs+glgC (ADP-glucose pyrophosphorylase)""",TRUE,0,not.sequenced
BB83,04.17.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K118024,"Plate 4, 3E",spring 2018 iGEM distribution,Jordan Clements,,Teal Box,exp003/exp005,NA,FALSE,,Translational_Unit,1," ""dxs+LIMS1+appY""",TRUE,1,not.sequenced
BB84,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K558009,"Plate 1, E4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp036,NA,FALSE,,Composite,3," ""Thiamin monophosphate pyrophosphorylase""",FALSE,1,NA
BB85,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K346000,"Plate 1, F4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006/exp026,NA,FALSE,,Generator,2," ""RBS(B0032)+T3 DNA-directed RNA polymerase""",TRUE,1,biobrick.confirmed
BB86,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575008,"Plate 1, G4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,TRUE,GFP,Composite,3," ""LasR/PAI1 Inducible Promoter + RBS (B0030) + GFP""",TRUE,1,biobrick.confirmed
BB87,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K395602,"Plate 1, H4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,FALSE,,Composite,3," ""Apple fragrance  generator """,TRUE,1,biobrick.confirmed
BB88,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575010,"Plate 1, I4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,,NA,FALSE,RFP,Generator,1," ""LasR/PAI1 Inducible Promoter + RBS (B0030) + RFP""",FALSE,0,NA
BB89,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575009,"Plate 1, K4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,TRUE,GFP,Composite,3," ""LasR/PAI1 Inducible Promoter + RBS (B0034) + GFP""",TRUE,1,biobrick.confirmed
BB90,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K325909,"Plate 1, L4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp006,NA,FALSE,,Reporter,1," ""Lux Operon (under pBAD)<BR><i>Vibrio Fischeri</i>""",TRUE,1,not.sequenced
BB91,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575011,"Plate 1, M4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,FALSE,RFP,Composite,3," ""LasR/PAI1 Inducible Promoter + RBS (B0034) + RFP""",FALSE,1,NA
BB92,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K325100,"Plate 1, N4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,FALSE,,Translational_Unit,1," ""EPIC Firefly Luciferase and LRE <BR><i>P. Pyralis<BR>(E. coli optimised)</i>""",FALSE,1,NA
BB93,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575012,"Plate 1, O4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,TRUE,GFP,Terminator,1," ""RhlR/PAI2  Inducible Promoter + RBS (B0030) + GFP""",FALSE,1,NA
