plate,responsible,date,description,protocol version,deviations from protocol,include,old.include,notes
exp030,Ginny?,,Rerun of the BFP controls ,,freezer stocks ,F,F,Was a test of controls? Very compressed data
exp031,,,,,,F,F,Low growth rates and compressed data
exp032,Diya,9/5/19,iGEM plasmids,4/18/19,freezer stocks ,T,T,
exp033,Diya,9/11/19,iGEM plasmids,4/18/19,freezer stocks ,T,T,
exp034,,,,,,F,F,Control strains overlap no burden
exp035,,,,,,T,F,
exp036,Alex,9/19/19,iGEM plasmids,4/18/19,freezer stocks ,F,F,Something happened to the high burden BFP control
exp037,Noor,9/16/19,Evostab (Anderson series) - day 0 cultures ,4/18/19,"colonies on plates (that were streaked out from glycerol stocks), not in triplicate pattern ",F,F,Special experiment with no controls
exp038,Noor,9/17/19,Evostab (Anderson series) - day 1 cultures,4/18/19,propagation from previous day - and not in triplicate pattern  ,F,F,Special experiment with no controls
exp039,Noor,9/18/19,Evostab (Anderson series) - day 2 cultures ,4/18/19,propagation from previous day - and not in triplicate pattern  ,F,F,Special experiment with no controls
exp040,Noor,9/19/19,Evostab (Anderson series) - day 3 cultures,4/18/19,propagation from previous day - and not in triplicate pattern  ,F,F,Special experiment with no controls
exp041,Noor,9/20/19,Evostab (Anderson series) - day 4 cultures ,4/18/19,propagation from previous day - and not in triplicate pattern  ,F,F,Special experiment with no controls
exp042,Noor,9/21/19,Evostab (Anderson series) - day 5 cultures,4/18/19,propagation from previous day - and not in triplicate pattern  ,F,F,Special experiment with no controls
exp043,Noor,9/22/19,Evostab (Anderson series) - day 6 cultures ,4/18/19,propagation from previous day - and not in triplicate pattern  ,F,F,Special experiment with no controls
exp044,Noor,9/23/19,Evostab (Anderson series) - day 7 cultures,4/18/19,propagation from previous day - and not in triplicate pattern  ,F,F,Special experiment with no controls
exp045,Diya,8/8/19,Redo run of exp012 (Anderson Series),,,T,T,
exp046,Alex,,Redo run of exp018,4/18/19,freezer stocks ,F,F,Something happened to the high burden BFP control
exp047,Noor,,Redo run of exp013?,,,T,F,Missing high burden control
exp048,Jordan,,Redo run of exp015?,,,T,T,
exp049,Ginny?,,Redo run of exp018 (before 046?),,,T,F,Controls are in the wrong order
exp050,Angela,9/7/19,reproducibility run 1,,,T,T,"Controls are not in the right places, special distribution"
exp051,angela,9/38/29,reproducibility run 2,,,F,F,"Has overflows from beginning in OD, blanks are not blank "
exp052,Diya,9/28/19,iGEM plasmids ,4/18/19,freezer stocks ,T,F,
exp053,Jordan,10/2/19,TTU + Rice ,,,F,F,"Not enough no burden strains for fitting, controls out of order"
exp054,Angela,10/5/19,,,,F,F,"Not enough no burden strains for fitting, controls out of order"
